Number of parameters: 7346
step=236, E=(-25.36145170430575-0.003541524201154652j), E_err=0.03723415403427765, E_var=0.7084413178172886, info=()
step=237, E=(-25.32020247167639-0.000807964483354385j), E_err=0.03340506353165034, E_var=0.5702240157418872, info=()
step=238, E=(-25.313877091112225+9.77952669914452e-05j), E_err=0.030956178882372926, E_var=0.4896836406197079, info=()
step=239, E=(-25.35228497686846-0.002096189858961741j), E_err=0.03661181890411568, E_var=0.6849573198520267, info=()
step=240, E=(-25.374080755483234-0.0032528795078474947j), E_err=0.03479204244054482, E_var=0.6185584569813674, info=()
step=241, E=(-25.325249568592092-0.002387134469207019j), E_err=0.03764152076273463, E_var=0.7240277676043363, info=()
step=242, E=(-25.318222184407844-0.0045508820963371405j), E_err=0.03845138400283125, E_var=0.7555180641156585, info=()
step=243, E=(-25.311258051017333-0.0005951823241674674j), E_err=0.03866975536284329, E_var=0.7641238396891172, info=()
step=244, E=(-25.41176842240059+0.0028585982002810283j), E_err=0.03694309727448299, E_var=0.6974089349145074, info=()
step=245, E=(-25.341523647573194-0.0010598806425729688j), E_err=0.03976413352963774, E_var=0.8079862071504215, info=()
step=246, E=(-25.3904446144801+0.00197128727817009j), E_err=0.03647234495976021, E_var=0.6797485248473742, info=()
step=247, E=(-25.359209242367218-0.0005566541225603311j), E_err=0.03777641697945894, E_var=0.7292264743808423, info=()
